"","SEQNUM","DDAY","NO_EPISO","ACT_CODE","STRTTIME","ENDTIME","DURATION","PLACE","ALONE","SPOUSE","CHILD","OTH_FAM","FRIENDS","OTHERS","REFFLAG","FWGT_MS"
"1",11805,4,19,36,1550,1610,20,3,2,2,2,2,2,1,0,5690238
"2",12273,1,11,91,1840,2330,290,1,1,2,2,2,2,2,0,5264075
"3",14962,5,22,17,2045,2130,45,5,1,2,2,2,2,2,0,44447233
"4",4436,4,11,76,2230,2800,330,3,2,2,2,2,1,1,0,20901730
"5",8884,4,13,43,830,840,10,1,1,2,2,2,2,2,0,3324810
"6",15093,4,16,10,1030,1300,150,1,1,2,2,2,2,2,0,17617961
"7",8179,3,30,12,2003,2015,12,1,1,2,2,2,2,2,0,11958140
"8",9385,1,22,79,1355,1400,5,5,2,2,2,1,2,2,0,37265843
"9",7249,2,30,59,740,800,20,6,1,2,2,2,2,2,0,30639535
"10",11617,4,22,39,1545,1600,15,5,1,2,2,2,2,2,0,10481979
"11",10702,2,17,39,1630,1635,5,5,1,2,2,2,2,2,0,6755590
"12",13911,3,27,30,1445,1530,45,3,2,2,2,1,2,2,0,16560436
"13",14026,7,13,45,2315,2800,285,1,0,0,0,0,0,0,0,10764198
"14",13043,6,22,10,1220,1300,40,1,1,2,2,2,2,2,0,23962239
"15",4509,3,18,11,1200,1230,30,1,2,1,2,2,2,2,0,11247990
"16",60,2,13,42,820,1230,250,3,1,2,2,2,2,2,0,12323488
"17",7170,2,15,75,1300,1500,120,3,2,2,2,2,1,2,0,11548930
"18",325,6,22,91,2130,2245,75,1,1,2,2,2,2,2,0,27759881
"19",914,5,10,59,1500,1510,10,5,1,2,2,2,2,2,0,19534982
"20",14697,3,20,86,2205,2330,85,3,2,2,2,2,1,2,0,21032872
"21",908,4,27,50,1005,1100,55,3,2,2,2,2,2,1,0,12042016
"22",9889,7,23,53,1455,1530,35,3,1,2,2,2,2,2,0,8794965
"23",9678,4,18,12,1830,1930,60,1,2,2,1,2,2,2,0,4001224
"24",12859,4,26,33,1240,1245,5,3,1,2,2,2,2,2,0,9566637
"25",8534,1,18,95,1250,1255,5,3,2,2,2,2,1,2,0,30573445
"26",6897,1,24,40,1000,1030,30,1,0,0,0,0,0,0,0,13451668
"27",10685,7,18,91,2050,2250,120,3,2,2,2,2,1,2,0,14384018
"28",4766,5,20,66,1730,2200,270,2,2,2,2,2,1,1,0,24178119
"29",9183,2,28,59,1020,1035,15,5,1,2,2,2,2,2,0,21753352
"30",7255,2,21,59,2030,2050,20,5,2,2,2,2,1,2,0,20467307
"31",15896,2,20,79,2000,2002,2,5,2,1,2,2,2,2,0,6674830
"32",7046,2,25,49,2030,2033,3,5,1,2,2,2,2,2,0,9107429
"33",7370,7,23,39,1230,1245,15,5,2,1,1,2,2,2,0,17940329
"34",5911,4,14,79,1300,1310,10,5,1,2,2,2,2,2,0,16780894
"35",8493,4,25,43,1230,1330,60,1,2,2,2,2,2,1,0,3986098
"36",11826,5,56,79,2310,2320,10,5,1,2,2,2,2,2,0,5907700
"37",3491,1,13,1,1600,2300,420,2,2,2,2,2,2,1,0,27057383
"38",11339,4,20,33,1600,1610,10,3,2,2,2,2,2,1,0,7168766
"39",9889,7,23,51,1000,1145,105,3,2,2,2,2,2,1,0,8794965
"40",12511,4,24,1,900,1000,60,2,2,2,2,2,2,1,0,22014150
"41",5847,6,32,21,2010,2020,10,1,2,1,1,2,2,2,0,22477198
"42",4806,2,21,50,1035,1200,85,3,2,2,2,2,2,1,0,4418051
"43",10662,3,17,44,1600,1630,30,5,9,9,9,9,9,9,0,3669171
"44",12345,5,22,1,1400,1700,180,2,2,2,2,2,2,1,0,16303322
"45",2580,2,30,33,1007,1040,33,3,2,2,2,2,1,2,0,6367883
"46",12663,1,13,79,1230,1235,5,5,1,2,2,2,2,2,0,10556333
"47",3207,4,24,75,1220,1600,220,3,2,2,2,2,1,2,0,24537200
"48",12613,6,23,40,1830,1900,30,1,0,0,0,0,0,0,0,15498115
"49",5155,6,12,1,1230,1700,270,2,2,2,2,2,2,1,0,5569572
"50",1874,6,21,12,900,905,5,5,1,2,2,2,2,2,0,2953659
"51",5723,5,20,39,1600,1640,40,5,1,2,2,2,2,2,0,32954479
"52",13222,4,21,91,1625,1730,65,1,2,2,1,2,2,2,0,5225960
"53",10329,7,25,69,1445,1500,15,5,1,2,2,2,2,2,0,31952590
"54",5575,4,20,79,1830,1915,45,5,2,2,2,1,2,2,0,18716825
"55",16032,7,21,45,2635,2800,85,1,0,0,0,0,0,0,0,10018116
"56",16244,7,13,75,1810,2345,335,3,2,2,2,2,1,2,0,36797023
"57",5878,4,27,32,1900,2040,100,3,2,2,2,2,1,1,0,5422841
"58",15081,2,15,44,1800,1830,30,3,1,2,2,2,2,2,0,6514255
"59",5768,6,18,82,540,550,10,5,1,2,2,2,2,2,0,38577713
"60",2436,7,19,49,1700,1730,30,5,1,2,2,2,2,2,0,21819311
"61",2031,4,14,43,1200,1230,30,1,2,1,2,2,2,2,0,6174168
"62",93,5,17,43,1235,1315,40,1,2,2,2,1,2,2,0,15279047
"63",10888,6,13,90,940,1200,140,1,1,2,2,2,2,2,0,17221230
"64",2193,5,16,49,1900,1930,30,5,2,2,2,2,1,2,0,12965126
"65",151,4,26,79,815,820,5,5,1,2,2,2,2,2,0,9055781
"66",15953,1,16,69,1200,1210,10,5,9,9,9,9,9,9,0,37854173
"67",4059,5,30,79,1230,1235,5,5,1,2,2,2,2,2,0,19089798
"68",619,4,14,43,2105,2130,25,1,2,1,1,2,2,2,0,22001126
"69",10481,2,23,39,1615,1630,15,5,1,2,2,2,2,2,0,14721224
"70",8317,5,19,17,830,1030,120,1,1,2,2,2,2,2,0,35161700
"71",4483,1,17,30,1115,1145,30,3,1,2,2,2,2,2,0,14282649
"72",72,4,17,29,730,800,30,5,2,2,1,2,2,2,0,6992040
"73",3114,5,24,91,945,1100,75,1,1,2,2,2,2,2,0,17029072
"74",7050,1,19,28,920,1130,130,3,2,2,2,1,2,2,0,9922052
"75",11354,3,17,13,1505,1515,10,1,2,2,1,2,2,2,0,12930386
"76",3878,7,8,9,1730,1900,90,5,1,2,2,2,2,2,0,12625885
"77",5422,5,15,50,830,1430,360,3,2,2,2,2,1,1,0,64134466
"78",10170,1,14,9,1015,1030,15,5,1,2,2,2,2,2,0,34369891
"79",11402,6,19,6,635,700,25,2,2,2,2,2,1,2,0,21161952
"80",8387,4,18,40,955,1030,35,1,0,0,0,0,0,0,0,16101589
"81",4816,3,24,43,1735,1755,20,1,2,1,2,2,2,2,0,8291367
"82",4651,3,17,69,720,730,10,5,1,2,2,2,2,2,0,9079252
"83",3380,7,20,79,1600,1605,5,5,2,2,2,2,1,2,0,21289783
"84",15828,3,24,17,1230,1315,45,5,1,2,2,2,2,2,0,14601374
"85",13313,6,25,30,1100,1120,20,3,1,2,2,2,2,2,0,9607957
"86",7339,3,36,9,1200,1205,5,5,2,2,2,2,2,1,0,6725442
"87",10172,2,32,9,2040,2045,5,5,1,2,2,2,2,2,0,4083548
"88",9728,5,17,9,845,900,15,5,1,2,2,2,2,2,0,16477239
"89",10008,4,20,39,1030,1045,15,5,1,2,2,2,2,2,0,12540759
"90",2784,3,17,50,1345,1515,90,3,2,2,2,2,2,1,0,32698571
"91",11394,6,33,79,2000,2015,15,5,2,2,2,2,1,2,0,13304464
"92",1124,3,20,44,1200,1230,30,2,2,2,2,2,2,1,0,11624693
"93",7901,7,32,33,1425,1450,25,3,2,2,1,2,2,2,0,17741485
"94",9205,3,15,46,1632,1830,118,1,0,0,0,0,0,0,0,8090487
"95",6189,7,12,38,800,1100,180,5,2,1,2,2,2,2,0,15923279
"96",2963,3,24,39,1330,1335,5,5,1,2,2,2,2,2,0,11386683
"97",14459,1,20,1,1330,1530,120,2,2,2,2,2,2,1,0,7094569
"98",9582,7,20,79,1435,1450,15,5,2,2,2,1,1,2,0,35064437
"99",5071,6,23,91,2215,2235,20,1,2,1,2,2,2,2,0,30528134
"100",249,2,15,40,700,730,30,1,0,0,0,0,0,0,0,13361324
