"","SEQNUM","COUNTRY_","COMM15_A","YEARSCOM","CANCOMM1","FATHLIVE","FREASON_","OTHFATH_","FATHACT_","FSELFEMP","FATHED_B","FMOREED_","FMOSTED_","FCOUNTRY","FETHNIC1","FETHNIC2","FETHNIC3","FETHNIC4","FETHNIC5","FETHNIC6","FETHNIC7","FETHNIC8","MOTHLIVE","MREASON_","OTHMOTH_","MOTHACT_","MSELFEMP","MOTHED_B","MMOREED_","MMOSTED_","MCOUNTRY","METHNIC1","METHNIC2","METHNIC3","METHNIC4","METHNIC5","METHNIC6","METHNIC7","METHNIC8","BROTHERS","SISTERS_","HAPPY_El","HEALTH_E","HEALTHSV","JOB_E2B","JOBSV_E2","OTHTIME_","OTHTIMES","FINANCE_","FINANCES","HOUSING_","HOUSINGS","FRIENDS_","FRIENDSS","PARTNER_","PARTNERS","FAMILY_E","FAMILYSV","YOURSEL1","YOURSEL2","LIFE_E3","EDUC","GRADSECN","MOREED","MOSTED","YEARED","JOB1","JOBlYEAR","RELIGION","ATTEND","ETHNICl","ETHNIC2","ETHNIC3","ETHNIC4","ETHNIC5","ETHNIC6","ETHNIC7","ETHNIC8","DWELLING","OWNRENT","ACT7DAYS","ACTl2MNT","JOB12MNT","JOBWEEKS","SELFEMP","PTFT","HOUSINC1","HOUSINC2","HOUSINC3","PROV","FWGT_OS","DVSEX","DVAGEGR","DVMARST","DVRELHD","DVHHLDSZ","DVLVGARR","DVCHILD","DVIMMIG","DVNUMCOM","DVBORNR","DVBORl5","DVBORNF","DVBORNM","DVBCMSF","DVPINF","DVINDF","DVEDF","DVBCMSM","DVPINM","DVINDM","DVEDM","DVEDR","DVBCMSRF","DVPINRF","DVINDRF","DVBCMSRL","DVPINRL","DVINDRL","DVBROTHS","DVSALARY","DVTOTINC","CONREG","MAGREG","DVLANG","CONVERS","FAMTONG","FAMTONG1","FAMTONG2","FAMTONG3","MOMTONG","MOMTONG1","MOMTONG2","MOMTONG3","RESMTONG","MAINQL","DVMAINLG","KNOWFRE1","KNOWENG","TALKFREN","TALKENG","RATEFRER","RATEENGR","RATEFREU","RATEENGU","RATEFRES","RATEENGS","KNOWFRE2","KNOWFRE3","KNOWFRE4","KNOWFRE5","KNOWFRE6","KNOWFRE7","KNOWFRE8","KNOWENG1","KNOWENG2","KNOWENG3","KNOWENG4","KNOWENG5","KNOWENG6","KNOWENG7","FIVEFREK","FIVEENGK","FIVEFREU","FIVEENGU","KNOWOTHF","DVNUMOTH","DVKNOTHL","TALKOTH","RATEOTHR","RATEOTHU","RATEOTHS","KIDLNH","KIDLN","KIDLNMO","KIDLN90","KIDLNO3","KIDLNO4","KIDLNO5","ADOLNH","ADOLNHMO","ADOLNF","ADOLNFMO","PRILN","PRILNMO","SECLN","SECLNMO","POSTLN","POSTLNMO","HOMELN","NOWLNH","NOWLNHMO","NOWLNH90","NOWLNF","NOWLNFMO","WRKLN","RWRKLN","RWRKLNMO","RWRKLN90","WWRKLN","WWRKLNMO","WWRKLN90","TVLN","TVLNMO","TVLN9O","DOCLN","FEDSERV","P0","CEIC","OAS","NP","FPIC","CUSTOMS","RCMP","AIRC","AGCAN","VR","PSC","R2PO","R2CEIC","R2OAS","R2NP","R2FPIC","R2CUST","R2RCMP","R2AIRC","R2AGCAN","R2VR","R2PSC","R3PO","R3CEIC","R3OAS","R3NP","R3FPIC","R3CUST","R3RCMP","R3AIRC","R3AGCAN","R3VR","R3PSC","R4PO","R4CEIC","R4OAS","R4NP","R4FPIC","R4CUST","R4RCMP","R4AIRC","R4AGCAN","R4VR","R4PSC","R5PO","R5CEIC","R5OAS","R5NP","R5FPIC","R5CUST","R5RCMP","R5AIRC","R5AGCAN","R5VR","R5PSC","DVAGRPS","DVLANG_C","CONVERS1","AGE_El","AGE_E2","AGE_E3","DVLANGE1","DVLANGE2","DVLANGE3","CONVERS2","CONVERS3","CONVERS4","EDUCLNE1","EDUCLNE2","EDUCLNE3","CRENG_El","CRENG_E2","CRENG_E3","CRFRE_E1","CRFRE_E2","CRFRE_E3","IMMER_El","IMMER_E2","IMMER_E3"
"1",14182,2,2,3,2,2,1,2,0,0,98,3,0,2,2,2,2,2,1,2,2,2,2,3,0,2,0,98,3,0,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,9,1,2,0,1945,1,1948,2,1,2,2,2,2,1,2,2,2,1,1,4,4,2,0,0,0,2,3,5,5,1371813,2,9,1,2,4,1,5,2,5,3,3,3,3,86,86,86,88,87,87,87,88,4,27,13,11,87,87,87,3,0,360,5,3,3,1,3,2,1,2,3,2,1,2,3,1,1,2,1,0,7,0,6,0,6,0,6,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,6,0,1,1,1,4,2,1,1,1,3,5,3,0,2,1,2,3,3,3,3,3,3,3,3,0,0,1,1,1,0,5,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,4,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0
"2",7393,1,1,0,1,2,2,1,1,1,6,2,0,1,2,2,2,2,2,2,2,1,2,4,1,2,0,6,2,0,1,2,2,2,1,2,2,2,2,0,5,2,2,3,1,1,1,1,2,3,1,1,1,2,1,2,1,2,1,1,2,5,0,1,6,1970,1,1975,3,4,2,2,2,2,2,2,2,1,3,1,1,1,0,49,1,1,2,3,6,8,35657729,1,5,1,1,3,1,2,0,1,2,2,2,2,37,10,8,2,87,87,87,2,10,22,16,13,32,15,7,5,30000,30300,0,7,1,1,1,2,2,2,1,2,2,2,1,1,7,2,1,5,7,5,6,5,6,5,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,6,5,6,5,0,0,5,5,5,5,0,2,1,0,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,2,1,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",11751,1,1,0,1,1,0,0,1,1,99,3,0,1,1,2,2,2,2,2,2,2,1,0,0,2,0,98,3,0,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,3,1,1,2,4,1,1,1,2,1,2,1,2,1,2,2,8,1,1,1,1986,1,1986,4,9,1,2,2,2,2,2,2,1,1,2,1,1,0,32,1,1,8,8,88,5,4416361,1,2,1,1,2,2,1,0,1,2,2,2,2,42,9,13,88,87,87,87,88,5,62,4,4,62,4,4,3,888888,888888,6,3,1,1,1,2,2,2,1,2,2,2,1,1,7,2,1,5,7,5,6,5,6,5,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,6,5,6,5,0,0,5,5,5,5,0,2,1,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",11567,1,1,0,1,1,0,0,1,1,6,2,0,1,2,1,2,2,2,2,2,2,1,0,0,2,0,6,2,0,1,2,1,2,2,2,2,2,2,0,0,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,9,1,1,1,1968,1,1969,2,1,2,1,2,2,2,2,2,2,1,1,1,1,0,52,1,1,2,3,6,5,5125466,1,5,1,1,4,1,4,0,1,1,1,1,2,27,15,13,2,87,87,87,2,5,37,14,10,57,2,6,1,888888,888888,6,3,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,1,2,0,0,0,0,0,0,2,3,2,0,2,2,2,2,2,4,2,2,2,2,2,1,1,2,2,2,0,4,2,4,4,1,2,1,1,0,4,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,0,0,4,0,0,3,0,0,2,0,0,1,0,0,0,0,0,2,0,0
"5",987,1,1,0,1,1,0,0,1,2,4,2,0,2,2,2,1,2,2,2,2,2,1,0,0,2,0,6,2,0,2,2,2,1,2,2,2,2,2,5,4,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,2,1,1,2,9,1,2,0,1940,1,1940,2,5,2,2,1,2,2,2,2,2,1,1,1,1,0,52,1,2,1,2,3,7,8530843,1,10,1,1,2,2,1,0,1,1,1,3,3,32,11,1,2,87,87,87,2,4,32,11,1,27,12,11,6,5000,12000,0,7,1,1,1,2,2,2,1,2,2,2,1,1,7,2,1,5,7,5,6,5,6,5,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,6,5,6,5,0,0,5,5,5,5,0,2,1,0,2,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",343,1,1,0,1,1,0,0,1,1,98,3,0,1,2,1,2,2,2,2,2,2,1,0,0,2,0,98,3,0,1,2,1,2,2,2,2,2,2,1,3,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,9,1,2,0,1978,1,1980,2,1,2,1,2,2,2,2,2,2,5,2,4,4,2,0,0,0,8,8,88,5,1092603,2,3,2,1,1,9,1,0,1,1,1,2,2,42,13,3,88,87,87,87,88,4,22,15,11,87,87,87,4,0,888888,5,3,4,3,2,2,2,2,2,2,2,2,2,2,4,1,1,7,1,6,1,6,1,6,1,6,6,6,6,6,6,6,1,2,2,2,2,2,2,6,1,3,1,2,0,0,0,0,0,0,2,3,2,0,2,2,2,2,2,2,2,4,1,4,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,4,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",12460,1,1,0,1,1,0,0,1,1,8,2,0,1,1,2,2,1,2,2,2,2,1,0,0,2,0,8,2,0,1,1,2,2,2,2,2,2,2,3,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,9,2,1,6,1967,1,1967,3,4,1,2,2,1,2,2,2,2,1,1,4,4,2,0,0,0,2,4,7,5,26626342,2,5,1,2,3,1,3,0,1,1,1,1,1,32,13,3,2,87,87,87,2,10,37,12,11,87,87,87,4,0,374,0,6,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,4,7,3,6,3,6,3,6,1,2,2,2,2,2,2,6,6,6,6,6,6,6,2,6,2,3,2,0,0,0,0,0,0,1,1,1,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,2,0,0
"8",14173,1,2,2,1,1,0,0,1,2,7,2,0,1,2,1,2,2,2,2,2,1,1,0,0,1,1,11,2,0,1,2,1,2,2,2,2,2,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,9,1,1,1,1986,1,1986,2,3,2,1,2,2,2,2,2,1,5,2,1,1,0,44,1,1,1,1,2,4,2132672,2,3,1,2,2,2,1,0,5,1,1,1,1,32,13,8,2,27,15,8,4,5,22,12,11,22,12,11,3,888888,888888,4,2,2,3,2,2,2,2,2,2,2,2,2,2,4,1,1,7,3,6,2,6,2,6,2,6,6,6,6,6,6,6,2,2,2,1,2,2,2,6,1,3,2,1,1,4,4,3,2,3,2,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,0,0,4,2,2,2,1,2,2,1,1,2,1,1,2,1,2,1,2,8,0,0,2,0,0,1,0,8,0,1,9,0,0,1,0,0,2,0,9,0,0,9,0,0,0,0,0,2,0,9,0,0,9,0,0,0,0,0,2,0,9,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",5035,2,1,0,2,1,0,0,1,2,12,1,1,2,2,2,2,2,2,2,2,1,1,0,0,2,0,8,2,0,2,2,2,2,2,2,2,2,1,3,5,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,7,0,2,0,9999,1,1952,2,1,2,2,2,2,2,2,2,1,4,1,5,5,2,0,0,0,1,2,4,4,12916135,2,10,1,2,2,2,1,2,1,3,3,3,3,32,10,5,5,87,87,87,2,3,47,9,10,87,87,87,6,0,0,2,2,3,3,3,2,2,2,3,2,2,2,3,1,6,1,1,1,7,3,3,3,7,3,7,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,3,3,6,3,20,6,6,6,6,5,5,3,2,2,2,2,3,3,3,3,3,3,3,3,0,0,7,3,3,0,7,1,0,0,0,0,0,0,0,4,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,2,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",11979,2,1,0,2,1,0,0,1,2,12,2,0,2,2,2,2,2,2,2,1,2,1,0,0,1,2,11,2,0,2,2,2,2,2,2,2,2,1,0,0,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,5,7,0,2,0,1944,1,9999,10,2,2,2,2,2,2,2,1,2,1,2,4,4,2,0,0,0,2,4,7,4,25832266,2,9,1,2,4,1,1,2,1,3,3,3,3,27,10,8,4,42,6,3,4,3,42,9,5,87,87,87,1,0,4200,2,2,2,9,3,2,2,1,3,2,2,2,3,1,6,1,1,2,7,4,2,3,7,3,7,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,6,3,5,6,6,6,6,3,5,3,0,2,2,1,3,3,3,3,3,3,3,3,0,0,7,3,3,0,5,9,0,0,0,0,0,0,0,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,5,5,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
