"","SEQNUM","DDAY","NOEPISO","ACTCODE","STARTIME","ENDTIME","DURATION","PLACE","ALONE","SPOUSE","CHILD","OTHFAM","FRIENDS","OTHERS","ENJOYAC","REFFLAG","TIMEWGT"
"1",3616,5,24,60,540,600,20,2,2,2,2,2,2,1,2,0,1127.4797
"2",19385,2,17,301,1155,1240,45,4,1,2,2,2,2,2,2,0,1178.1746
"3",1336,3,28,590,1750,1800,10,5,1,2,2,2,2,2,2,0,7047.7322
"4",17640,2,13,400,1830,1930,60,1,8,8,8,8,8,8,2,0,10038.2671
"5",22052,4,30,390,1555,1600,5,7,1,2,2,2,2,2,2,0,1450.2544
"6",21386,7,18,302,945,1045,60,4,1,2,2,2,2,2,2,0,1563.8563
"7",10972,3,21,911,2030,2200,90,1,2,2,2,1,2,2,9,0,2088.6313
"8",3622,4,23,130,1100,1130,30,1,1,2,2,2,2,2,2,0,1181.6507
"9",18027,1,20,640,1050,1205,75,4,2,2,2,2,1,2,1,0,546.4481
"10",1501,2,24,440,1150,1300,70,4,2,2,2,2,1,1,2,0,1397.8942
"11",21578,7,22,792,2215,2220,5,7,1,2,2,2,2,2,2,0,1008.5061
"12",5741,3,20,491,1800,1810,10,7,2,2,2,1,2,1,2,0,1438.6173
"13",2796,5,32,861,1535,1630,55,4,2,2,2,2,1,1,1,0,1819.9895
"14",4602,4,24,590,1555,1610,15,7,1,2,2,2,2,2,2,0,5055.9324
"15",15234,4,25,90,600,620,20,9,1,2,2,2,2,2,2,0,1908.0623
"16",22666,3,16,806,1840,2100,140,4,2,2,2,2,2,1,1,0,921.7533
"17",25068,4,16,793,1000,1010,10,7,1,2,2,2,2,2,2,0,1852.2069
"18",8590,7,31,821,1900,1930,30,7,2,2,1,2,2,2,1,0,1455.0752
"19",4059,6,27,183,1105,1115,10,1,1,2,2,2,2,2,2,0,4161.6578
"20",5741,3,20,440,1810,1930,80,4,2,2,2,1,2,1,2,0,1438.6173
"21",17185,4,26,821,1000,1100,60,7,2,2,1,2,2,2,2,0,2649.5601
"22",20245,2,31,90,830,835,5,7,1,2,2,2,2,2,2,0,2306.1219
"23",3766,1,23,120,2000,2015,15,1,1,2,2,2,2,2,2,0,5965.4809
"24",25928,4,25,500,915,1330,255,4,2,2,2,2,2,1,1,0,1745.5914
"25",6013,2,22,11,1405,1700,175,2,2,2,2,2,2,1,2,0,4202.8733
"26",27567,2,23,590,715,720,5,7,1,2,2,2,2,2,2,0,1900.7306
"27",8723,2,18,70,1845,1900,15,2,2,2,2,2,1,1,2,0,8526.4527
"28",8551,2,22,390,1930,1935,5,7,1,2,2,2,2,2,2,0,632.1279
"29",8147,2,27,90,1655,1700,5,7,1,2,2,2,2,2,2,0,1077.5113
"30",8314,3,38,90,705,715,10,7,1,2,2,2,2,2,2,0,1389.6161
"31",2010,3,33,990,1030,1035,5,7,2,2,1,2,2,2,2,0,2789.0113
"32",7204,1,31,291,1555,1600,5,7,2,2,1,2,2,2,2,0,1317.8038
"33",14453,5,34,450,400,600,120,1,8,8,8,8,8,8,2,0,3143.6162
"34",22682,6,43,310,1048,1110,22,4,1,2,2,2,2,2,2,0,1141.3488
"35",26987,2,35,691,1640,1700,20,7,1,2,2,2,2,2,2,0,117.9959
"36",4196,1,29,390,1520,1530,10,7,2,2,1,2,2,2,2,0,1990.8638
"37",22529,6,23,90,850,900,10,7,1,2,2,2,2,2,2,0,620.8762
"38",17769,3,21,791,2300,2315,15,9,1,2,2,2,2,2,2,0,3802.2083
"39",13012,6,14,90,1840,1920,40,9,9,9,9,9,9,9,2,0,2172.2069
"40",4020,6,26,590,1040,1045,5,7,1,2,2,2,2,2,2,0,5396.7475
"41",5805,4,21,11,1500,1630,90,1,1,2,2,2,2,2,2,0,4290.3614
"42",11188,3,20,11,840,1200,200,2,2,2,2,2,2,1,2,0,1405.8034
"43",20008,6,18,911,1325,1800,275,1,2,2,2,2,1,2,2,0,797.7864
"44",1736,5,40,183,1205,1300,55,1,1,2,2,2,2,2,2,0,560.9278
"45",11042,3,17,11,820,1330,310,2,2,2,2,2,2,1,2,0,2099.685
"46",11260,2,22,911,1800,1900,60,1,1,2,2,2,2,2,2,0,2261.1845
"47",1261,3,27,120,1100,1230,90,1,2,2,2,2,1,2,2,0,964.3945
"48",6054,4,38,220,815,830,15,1,2,2,1,2,2,2,2,0,1913.6566
"49",7755,2,14,911,1330,1400,30,1,1,2,2,2,2,2,2,0,2693.8774
"50",6370,4,23,90,800,815,15,7,1,2,2,2,2,2,2,0,452.669
"51",16828,6,28,200,1300,1315,15,1,2,2,1,2,2,2,2,0,2889.4385
"52",8591,7,15,430,1130,1145,15,1,1,2,2,2,2,2,2,0,909.201
"53",9947,6,23,11,905,1105,120,2,1,2,2,2,2,2,2,0,1855.0656
"54",10831,4,24,940,2010,2120,70,1,1,2,2,2,2,2,2,0,4620.4818
"55",27568,1,24,301,720,725,5,4,1,2,2,2,2,2,2,0,2876.2777
"56",21386,7,18,302,945,1045,60,4,1,2,2,2,2,2,2,0,1563.8563
"57",19809,4,24,590,1415,1425,10,7,1,2,2,2,2,2,2,0,142.2018
"58",17458,6,19,751,2000,2030,30,3,2,2,1,2,1,2,2,0,1423.9815
"59",12909,2,21,500,1250,1530,160,4,2,2,2,2,1,2,2,0,1341.862
"60",8563,6,14,11,700,1000,180,2,2,2,2,2,2,1,2,0,1217.3087
"61",1635,5,28,540,1240,1318,38,4,2,2,2,2,1,2,2,0,864.6952
"62",27386,4,21,400,940,955,15,1,8,8,8,8,8,8,2,0,1663.2787
"63",4948,2,20,752,1110,1150,40,3,2,2,2,2,1,2,2,0,761.2704
"64",22914,4,23,183,1005,1015,10,1,1,2,2,2,2,2,2,0,380.9189
"65",25125,4,15,450,2215,400,345,1,8,8,8,8,8,8,2,0,416.5049
"66",26507,3,37,590,1835,1840,5,7,2,2,2,2,1,2,2,0,1496.9163
"67",10787,2,25,400,700,720,20,1,8,8,8,8,8,8,2,0,323.9014
"68",1699,4,29,390,1530,1535,5,7,1,2,2,2,2,2,2,0,1101.662
"69",13247,7,16,620,1315,1500,105,4,2,2,2,2,1,2,1,0,1520.3205
"70",27210,2,45,961,1455,1500,5,1,1,2,2,2,2,2,2,0,1952.7619
"71",4020,6,26,590,1530,1545,15,7,1,2,2,2,2,2,2,0,5396.7475
"72",10296,2,20,831,1320,1400,40,1,1,2,2,2,2,2,2,0,2202.8997
"73",26953,3,30,390,1100,1120,20,7,1,2,2,2,2,2,2,0,2366.1508
"74",8758,7,16,940,900,1000,60,1,2,1,2,2,2,2,2,0,3568.1089
"75",20018,3,23,400,630,715,45,1,8,8,8,8,8,8,2,0,4504.7118
"76",27010,5,22,101,1630,1830,120,1,1,2,2,2,2,2,2,0,616.812
"77",8910,6,10,821,2000,2200,120,7,2,2,2,2,2,1,2,0,11400.8081
"78",8675,4,25,11,710,1000,170,2,1,2,2,2,2,2,2,0,7483.4352
"79",12215,6,25,140,1535,1555,20,1,1,2,2,2,2,2,2,0,2351.9674
"80",12229,7,24,861,1506,1545,39,4,2,2,2,2,1,2,1,0,867.2406
"81",1772,3,28,11,1415,1510,55,2,2,2,2,2,2,1,2,0,1896.1988
"82",19375,2,17,751,1830,2130,180,3,2,2,2,2,1,2,2,0,744.1298
"83",26760,6,21,302,1450,1515,25,4,1,2,2,2,2,2,2,0,1643.5771
"84",24328,1,17,301,1920,1950,30,4,1,2,2,2,2,2,2,0,1495.684
"85",4060,6,31,440,1210,1230,20,4,2,2,2,2,2,1,2,0,2121.3032
"86",19708,5,29,331,1310,1500,110,4,1,2,2,2,2,2,2,0,1514.8643
"87",12215,6,25,140,1535,1555,20,1,1,2,2,2,2,2,2,0,2351.9674
"88",20024,1,21,470,1115,1200,45,1,1,2,2,2,2,2,2,0,1186.2358
"89",24358,7,25,792,1700,1705,5,7,1,2,2,2,2,2,2,0,685.9717
"90",24203,4,31,101,1705,1715,10,1,1,2,2,2,2,2,2,0,1754.2873
"91",17754,1,23,640,1115,1215,60,4,2,2,2,2,2,1,2,0,361.3945
"92",8575,7,23,301,1205,1245,40,4,1,2,2,2,2,2,2,0,1507.4704
"93",10275,1,17,751,1935,2230,175,3,2,2,2,2,1,2,2,0,7415.2716
