"","RECID","EPINO","WGHTEPI","WGHTFIN","DDAY","TOTEPISO","ACTCODE","STARTIME","ENDTIME","STARMIN","ENDMIN","DURATION","PLACE","ALONE","SPOUSE","CHILDHSD","PARHSD","MEMBHSD","NHSDCL15","NHSDC15P","NHSDPAR","OTHFAM","FRIENDS","OTHERS","HELP","HELP65","HELPLIM","HELPREL","ORGCON","ENJOYAC"
"1",7835,16,11222.1432,NA,3,25,751,1805,1930,1085,1170,85,3,2,2,2,2,2,2,2,2,1,2,2,7,7,7,97,7,9
"2",10565,7,1134.848,NA,1,22,821,1230,1300,750,780,30,4,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"3",5534,14,831.1535,NA,3,19,861,1832,2130,1112,1290,178,4,2,2,2,2,2,2,2,2,2,2,1,7,7,7,97,7,1
"4",1176,11,362.4251,NA,3,17,792,1300,1315,780,795,15,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,9
"5",3349,18,3549.0631,NA,6,41,110,1230,1245,750,765,15,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,97,7,2
"6",1649,22,418.1473,NA,3,26,90,1800,1801,1080,1081,1,7,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"7",8035,21,501.8541,NA,4,30,380,1630,1650,990,1010,20,4,1,2,2,2,2,2,2,2,2,2,2,3,7,7,97,7,2
"8",9074,9,5394.342,NA,5,15,390,1630,1645,990,1005,15,7,2,2,2,2,1,2,2,2,2,2,2,7,7,7,97,7,2
"9",7255,25,1450.803,NA,5,31,792,2300,2303,1380,1383,3,7,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,2
"10",3924,4,1625.2489,NA,3,26,120,1115,1230,675,750,75,1,1,2,2,2,2,2,2,2,2,2,2,3,7,7,97,7,2
"11",3500,14,1402.7991,NA,3,24,11,1525,1700,925,1020,95,2,2,2,2,2,2,2,2,2,2,2,1,7,7,7,97,7,3
"12",4068,20,2083.8578,NA,7,22,430,2312,2317,1392,1397,5,1,1,2,2,2,2,2,2,2,2,2,2,7,7,7,97,7,2
"13",8723,23,6166.7994,NA,6,26,792,2130,2145,1290,1305,15,7,2,2,2,2,2,2,2,2,2,1,2,7,7,7,97,7,2
