"","RECID","EPINO","WGHT_PER","WGHT_EPI","DDAY","TOTEPISO","ACTCODE","STARTIME","ENDTIME","STARMIN","ENDMIN","DURATION","PLACE","ALONE","SPOUSE","CHILDHSD","PARHSD","MEMBHSD","NHSDCL15","NHSDC15P","NHSDPAR","OTHFAM","FRIENDS","OTHERS","ENJOYAC"
"1",7140,8,0,770.5603,3,22,390,1225,1230,745,750,5,14,1,2,2,2,2,2,2,2,2,2,2,2
"2",935,18,0,232.2646,3,37,390,1300,1310,780,790,10,14,1,2,2,2,2,2,2,2,2,2,2,8
"3",6340,7,0,592.6196,1,17,400,1145,1230,705,750,45,1,9,9,9,9,9,9,9,9,9,9,9,8
"4",19397,7,0,1114.0773,4,18,891,1200,1210,720,730,10,14,2,2,2,2,2,2,2,2,2,2,1,2
"5",3484,13,0,830.1401,6,18,101,1620,1705,980,1025,45,1,1,2,2,2,2,2,2,2,2,2,2,2
"6",15370,6,0,2842.6487,2,29,491,910,925,550,565,15,14,2,1,2,2,2,2,2,2,2,2,2,2
"7",8086,5,0,2279.9098,3,16,491,1300,1305,780,785,5,14,2,2,2,2,2,2,2,2,2,2,1,2
"8",1849,7,0,675.2174,4,25,491,1210,1215,730,735,5,14,1,2,2,2,2,2,2,2,2,2,2,2
"9",10826,7,0,679.399,3,12,101,1430,1600,870,960,90,1,1,2,2,2,2,2,2,2,2,2,2,2
"10",1867,10,0,2877.5877,4,28,90,1135,1200,695,720,25,14,1,2,2,2,2,2,2,2,2,2,2,2
"11",4936,9,0,874.9006,5,28,752,810,900,490,540,50,3,2,2,2,2,2,2,2,2,2,1,2,2
"12",17056,7,0,428.8368,3,19,430,1215,1300,735,780,45,1,2,1,2,2,2,2,2,2,2,2,2,2
"13",11346,12,0,2015.3115,3,17,430,1840,1915,1120,1155,35,1,2,1,1,2,2,2,2,2,2,2,2,2
"14",2579,10,0,255.1567,3,19,184,1350,1355,830,835,5,1,1,2,2,2,2,2,2,2,2,2,2,2
"15",11950,11,0,1198.078,4,28,400,1400,1410,840,850,10,1,9,9,9,9,9,9,9,9,9,9,9,2
"16",8611,6,0,1270.3435,6,15,11,754,1500,474,900,426,2,2,2,2,2,2,2,2,2,2,2,1,8
"17",6417,7,0,422.4136,3,23,11,830,1020,510,620,110,2,2,2,2,2,2,2,2,2,2,2,1,2
"18",3279,5,0,495.8321,1,14,911,910,1055,550,655,105,1,1,2,2,2,2,2,2,2,2,2,2,2
"19",16042,5,0,1987.6771,1,16,301,1045,1115,645,675,30,6,1,2,2,2,2,2,2,2,2,2,2,2
"20",3672,28,0,1085.1962,6,32,751,2000,2300,1200,1380,180,3,2,2,2,2,2,2,2,2,2,1,2,8
"21",13961,13,0,1366.3253,2,20,291,1815,1830,1095,1110,15,14,2,2,1,2,2,2,2,2,2,2,2,2
"22",8604,16,0,1195.97,3,25,101,1650,1720,1010,1040,30,1,1,2,2,2,2,2,2,2,2,2,2,2
"23",868,9,0,1911.2079,7,26,390,1020,1040,620,640,20,14,1,2,2,2,2,2,2,2,2,2,2,2
"24",11395,18,0,1746.1341,1,26,90,1605,1610,965,970,5,14,1,2,2,2,2,2,2,2,2,2,2,2
"25",858,8,0,709.9589,3,12,90,1334,1344,814,824,10,14,1,2,2,2,2,2,2,2,2,2,2,2
"26",4079,8,0,1155.6953,3,16,90,1530,1545,930,945,15,17,1,2,2,2,2,2,2,2,2,2,2,2
"27",8812,4,0,2690.976,1,16,951,940,1040,580,640,60,1,1,2,2,2,2,2,2,2,2,2,2,2
"28",14222,5,0,2550.4692,6,11,792,1650,1720,1010,1040,30,14,1,2,2,2,2,2,2,2,2,2,2,2
"29",19117,4,0,1776.411,5,9,11,930,1700,570,1020,450,2,2,2,2,2,2,2,2,2,2,2,1,2
"30",1787,11,0,958.3427,2,19,893,1700,1715,1020,1035,15,14,1,2,2,2,2,2,2,2,2,2,2,2
"31",11899,14,0,924.5314,3,30,677,1250,1335,770,815,45,11,2,2,2,2,2,2,2,2,2,2,1,8
"32",3049,7,0,1774.4898,6,25,190,1005,1010,605,610,5,14,1,2,2,2,2,2,2,2,2,2,2,2
"33",1520,14,0,666.9697,7,27,440,1005,1130,605,690,85,4,2,2,2,2,2,2,2,2,2,1,2,1
"34",4527,4,0,792.3243,6,10,500,900,1515,540,915,375,8,1,2,2,2,2,2,2,2,2,2,2,2
"35",17440,24,0,700.8658,7,37,390,1550,1555,950,955,5,14,2,1,1,2,2,2,2,2,2,2,2,8
"36",10091,14,0,1879.1177,4,26,291,1130,1140,690,700,10,98,2,2,1,2,2,2,2,2,2,2,2,2
"37",14717,15,0,980.2781,7,21,11,1703,1930,1023,1170,147,2,1,2,2,2,2,2,2,2,2,2,2,1
"38",6492,6,0,2317.8569,1,15,801,815,1100,495,660,165,9,2,2,2,2,2,2,2,2,2,2,1,1
"39",4528,21,0,2362.102,6,40,500,1550,1700,950,1020,70,8,2,2,2,2,2,2,2,2,2,2,1,8
"40",17613,9,0,323.6522,1,19,101,1210,1300,730,780,50,1,1,2,2,2,2,2,2,2,2,2,2,2
"41",5276,13,0,977.7293,4,26,832,1500,1600,900,960,60,1,1,2,2,2,2,2,2,2,2,2,2,2
"42",7666,6,0,1773.9224,6,12,11,1405,1845,845,1125,280,2,2,2,2,2,2,2,2,2,2,2,1,2
"43",12173,10,0,180.1624,2,17,302,1615,1715,975,1035,60,7,1,2,2,2,2,2,2,2,2,2,2,2
"44",19541,34,0,690.7805,5,46,390,1455,1505,895,905,10,14,1,2,2,2,2,2,2,2,2,2,2,8
"45",6231,8,0,615.766,7,19,301,850,900,530,540,10,1,1,2,2,2,2,2,2,2,2,2,2,8
"46",214,21,0,3160.2192,5,29,301,2035,2120,1235,1280,45,6,1,2,2,2,2,2,2,2,2,2,2,2
"47",14113,13,0,630.176,1,14,792,2250,2252,1370,1372,2,14,1,2,2,2,2,2,2,2,2,2,2,2
"48",19445,5,0,921.3339,4,14,678,900,1230,540,750,210,3,2,2,2,1,2,2,2,2,2,2,2,2
"49",9867,9,0,847.6051,2,14,440,1720,1820,1040,1100,60,4,1,2,2,2,2,2,2,2,2,2,2,1
"50",17027,9,0,658.6494,5,29,390,1027,1035,627,635,8,14,1,2,2,2,2,2,2,2,2,2,2,2
"51",13571,20,0,324.7728,1,32,390,1545,1600,945,960,15,14,1,2,2,2,2,2,2,2,2,2,2,8
"52",15837,16,0,1210.97,5,22,911,1820,1900,1100,1140,40,1,2,1,2,2,2,2,2,2,2,2,2,2
"53",11797,6,0,3809.4518,3,24,390,1300,1301,780,781,1,14,1,2,2,2,2,2,2,2,2,2,2,2
"54",17878,3,0,2103.8593,5,24,130,745,815,465,495,30,1,1,2,2,2,2,2,2,2,2,2,2,2
"55",7310,7,0,1533.7551,6,29,492,800,805,480,485,5,14,2,2,2,2,2,2,2,2,2,1,2,2
"56",6384,5,0,356.7454,4,11,90,1600,1610,960,970,10,14,1,2,2,2,2,2,2,2,2,2,2,2
"57",13279,1,0,125.5864,7,13,450,400,800,240,480,240,1,9,9,9,9,9,9,9,9,9,9,9,2
"58",10378,11,0,1045.3446,5,21,491,1440,1450,880,890,10,14,1,2,2,2,2,2,2,2,2,2,2,2
"59",6743,10,0,1637.1687,4,15,440,1910,2010,1150,1210,60,4,2,2,2,2,2,2,2,2,2,1,2,2
"60",11053,6,0,1907.0383,4,18,212,820,826,500,506,6,1,2,2,1,2,2,2,2,2,2,2,2,2
"61",15407,13,0,3505.0497,2,18,862,1532,1730,932,1050,118,1,1,2,2,2,2,2,2,2,2,2,2,1
"62",17371,11,0,1207.231,1,21,301,1315,1415,795,855,60,7,1,2,2,2,2,2,2,2,2,2,2,2
"63",16132,11,0,1336.471,4,18,792,1700,1701,1020,1021,1,14,1,2,2,2,2,2,2,2,2,2,2,2
"64",10299,13,0,1342.2549,6,23,560,1740,2000,1060,1200,140,8,2,2,2,2,2,2,2,2,2,1,2,2
"65",17778,3,0,2175.274,5,17,891,605,610,365,370,5,14,2,1,2,2,2,2,2,2,2,2,2,2
"66",1869,14,0,1425.1562,6,31,331,1010,1020,610,620,10,11,1,2,2,2,2,2,2,2,2,2,2,8
"67",14421,18,0,2564.7828,1,19,866,105,120,1505,1520,15,1,1,2,2,2,2,2,2,2,2,2,2,2
"68",4937,10,0,1402.4149,4,25,301,1315,1345,795,825,30,6,1,2,2,2,2,2,2,2,2,2,2,3
"69",13974,14,0,2047.3191,6,26,60,1422,1500,862,900,38,2,1,2,2,2,2,2,2,2,2,2,2,2
"70",10591,10,0,2875.2346,4,15,390,2010,2025,1210,1225,15,14,1,2,2,2,2,2,2,2,2,2,2,2
"71",4164,13,0,2152.9425,6,27,751,1600,1625,960,985,25,3,2,2,2,1,2,2,2,2,2,2,2,2
"72",15237,13,0,777.9327,5,18,911,1830,1930,1110,1170,60,1,1,2,2,2,2,2,2,2,2,2,2,2
"73",12733,5,0,699.1827,6,37,491,1015,1020,615,620,5,14,1,2,2,2,2,2,2,2,2,2,2,8
"74",9872,14,0,642.7452,2,20,301,1935,1950,1175,1190,15,6,1,2,2,2,2,2,2,2,2,2,2,2
"75",5997,8,0,2340.9674,4,19,50,1200,1225,720,745,25,2,1,2,2,2,2,2,2,2,2,2,2,2
"76",12198,14,0,2820.4047,6,20,440,1710,1845,1030,1125,95,4,2,1,2,2,2,2,2,2,2,1,2,2
"77",286,15,0,634.6352,6,34,101,1130,1140,690,700,10,1,2,2,1,2,2,2,2,2,2,2,2,8
"78",4352,9,0,1420.2997,4,15,440,1225,1415,745,855,110,4,2,2,2,2,2,2,2,2,2,2,1,1
"79",683,8,0,659.2884,7,11,752,1415,1900,855,1140,285,3,2,2,2,2,2,2,2,2,1,2,2,2
"80",16525,16,0,734.0049,6,19,140,2100,2105,1260,1265,5,1,1,2,2,2,2,2,2,2,2,2,2,2
"81",17190,17,0,351.809,7,34,302,1409,1429,849,869,20,7,2,1,1,2,1,2,2,2,2,2,2,8
"82",5563,7,0,476.5461,5,25,11,810,1030,490,630,140,2,2,2,2,2,2,2,2,2,2,2,1,2
"83",15009,7,0,3051.3926,5,17,491,1200,1205,720,725,5,14,2,2,2,2,2,2,2,2,2,2,1,2
"84",2612,14,0,1689.1266,3,24,891,1530,1540,930,940,10,14,2,2,2,2,2,2,1,2,1,2,2,2
"85",9453,7,0,1161.3418,2,25,11,940,1330,580,810,230,1,1,2,2,2,2,2,2,2,2,2,2,2
"86",3151,13,0,831.1248,1,18,804,1855,2025,1135,1225,90,3,2,1,2,2,2,2,2,2,2,2,1,2
"87",15108,31,0,193.3598,4,36,675,2101,2200,1261,1320,59,3,2,2,2,2,2,2,2,1,2,2,2,8
"88",18468,8,0,549.5101,1,10,90,2300,2315,1380,1395,15,14,1,2,2,2,2,2,2,2,2,2,2,2
"89",14440,11,0,2378.7231,7,26,752,1202,1302,722,782,60,3,2,1,1,2,2,2,2,1,1,2,2,2
"90",15374,4,0,826.0337,6,26,400,715,745,435,465,30,1,9,9,9,9,9,9,9,9,9,9,9,2
